word	onset	duration
bien	214.2	0.3
frotté	214.55	0.3
mes	214.9	0.3
yeux.	215.25	0.3
j'ai	215.6	0.3
bien	215.95	0.3
regardé.	216.3	0.3
et	216.65	0.3
j'ai	217	0.3
vu	217.35	0.3
un	217.7	0.3
petit	218.05	0.3
bonhomme	218.4	0.3
tout	218.75	0.3
à	219.1	0.3
fait	219.45	0.3
extraordinaire	219.8	0.3
qui	220.15	0.3
me	220.5	0.3
considérait	220.85	0.3
gravement.	221.2	0.3
voilà	221.55	0.3
le	221.9	0.3
meilleur	222.25	0.3
portrait	222.6	0.3
que,	222.95	0.3
plus	223.3	0.3
tard,	223.65	0.3
j'ai	224	0.3
réussi	224.35	0.3
à	224.7	0.3
faire	225.05	0.3
de	225.4	0.3
lui.	225.75	0.3
mais	226.1	0.3
mon	226.45	0.3
dessin,	226.8	0.3
bien	227.15	0.3
sûr,	227.5	0.3
est	227.85	0.3
beaucoup	228.2	0.3
moins	228.55	0.3
ravissant	228.9	0.3
que	229.25	0.3
le	229.6	0.3
modèle.	229.95	0.3
ce	230.3	0.3
n'est	230.65	0.3
pas	231	0.3
ma	231.35	0.3
faute.	231.7	0.3
j'avais	232.05	0.3
été	232.4	0.3
découragé	232.75	0.3
dans	233.1	0.3
ma	233.45	0.3
carrière	233.8	0.3
de	234.15	0.3
peintre	234.5	0.3
par	234.85	0.3
les	235.2	0.3
grandes	235.55	0.3
personnes,	235.9	0.3
à	236.25	0.3
l'âge	236.6	0.3
de	236.95	0.3
six	237.3	0.3
ans,	237.65	0.3
et	238	0.3
je	238.35	0.3
n'avais	238.7	0.3
rien	239.05	0.3
appris	239.4	0.3
à	239.75	0.3
dessiner,	240.1	0.3
sauf	240.45	0.3
les	240.8	0.3
boas	241.15	0.3
fermés	241.5	0.3
et	241.85	0.3
les	242.2	0.3
boas	242.55	0.3
ouverts.	242.9	0.3
je	243.6	0.3
regardai	243.95	0.3
donc	244.3	0.3
cette	244.65	0.3
apparition	245	0.3
avec	245.35	0.3
des	245.7	0.3
yeux	246.05	0.3
tout	246.4	0.3
ronds	246.75	0.3
d'étonnement.	247.1	0.3
n'oubliez	247.45	0.3
pas	247.8	0.3
que	248.15	0.3
je	248.5	0.3
me	248.85	0.3
trouvais	249.2	0.3
à	249.55	0.3
mille	249.9	0.3
milles	250.25	0.3
de	250.6	0.3
toute	250.95	0.3
région	251.3	0.3
habitée.	251.65	0.3
or	252	0.3
mon	252.35	0.3
petit	252.7	0.3
bonhomme	253.05	0.3
ne	253.4	0.3
me	253.75	0.3
semblait	254.1	0.3
ni	254.45	0.3
égaré,	254.8	0.3
ni	255.15	0.3
mort	255.5	0.3
de	255.85	0.3
fatigue,	256.2	0.3
ni	256.55	0.3
mort	256.9	0.3
de	257.25	0.3
faim,	257.6	0.3
ni	257.95	0.3
mort	258.3	0.3
de	258.65	0.3
soif,	259	0.3
ni	259.35	0.3
mort	259.7	0.3
de	260.05	0.3
peur.	260.4	0.3
il	260.75	0.3
n'avait	261.1	0.3
en	261.45	0.3
rien	261.8	0.3
l'apparence	262.15	0.3
d'un	262.5	0.3
enfant	262.85	0.3
perdu	263.2	0.3
au	263.55	0.3
milieu	263.9	0.3
du	264.25	0.3
désert,	264.6	0.3
à	264.95	0.3
mille	265.3	0.3
milles	265.65	0.3
de	266	0.3
toute	266.35	0.3
région	266.7	0.3
habitée.	267.05	0.3
quand	267.4	0.3
je	267.75	0.3
réussis	268.1	0.3
enfin	268.45	0.3
à	268.8	0.3
parler,	269.15	0.3
je	269.5	0.3
lui	269.85	0.3
dis:	270.2	0.3
"mais...	270.9	0.3
qu'est-ce	271.25	0.3
que	271.6	0.3
tu	271.95	0.3
fais	272.3	0.3
là?"	272.65	0.3
et	273.35	0.3
il	273.7	0.3
me	274.05	0.3
répéta	274.4	0.3
alors,	274.75	0.3
tout	275.1	0.3
doucement,	275.45	0.3
comme	275.8	0.3
une	276.15	0.3
chose	276.5	0.3
très	276.85	0.3
sérieuse	277.2	0.3
:	277.55	0.3
"s'il	278.25	0.3
vous	278.6	0.3
plaît...	278.95	0.3
dessine-moi	279.3	0.3
un	279.65	0.3
mouton..."	280	0.3
quand	280.7	0.3
le	281.05	0.3
mystère	281.4	0.3
est	281.75	0.3
trop	282.1	0.3
impressionnant,	282.45	0.3
on	282.8	0.3
n'ose	283.15	0.3
pas	283.5	0.3
désobéir.	283.85	0.3
aussi	284.2	0.3
absurde	284.55	0.3
que	284.9	0.3
cela	285.25	0.3
me	285.6	0.3
semblât	285.95	0.3
à	286.3	0.3
mille	286.65	0.3
milles	287	0.3
de	287.35	0.3
tous	287.7	0.3
les	288.05	0.3
endroits	288.4	0.3
habités	288.75	0.3
et	289.1	0.3
en	289.45	0.3
danger	289.8	0.3
de	290.15	0.3
mort,	290.5	0.3
je	290.85	0.3
sortis	291.2	0.3
de	291.55	0.3
ma	291.9	0.3
poche	292.25	0.3
une	292.6	0.3
feuille	292.95	0.3
de	293.3	0.3
papier	293.65	0.3
et	294	0.3
un	294.35	0.3
stylographe.	294.7	0.3
mais	295.05	0.3
je	295.4	0.3
me	295.75	0.3
rappelai	296.1	0.3
alors	296.45	0.3
que	296.8	0.3
j'avais	297.15	0.3
surtout	297.5	0.3
étudié	297.85	0.3
la	298.2	0.3
géographie,	298.55	0.3
l'histoire,	298.9	0.3
le	299.25	0.3
calcul	299.6	0.3
et	299.95	0.3
la	300.3	0.3
grammaire	300.65	0.3
et	301	0.3
je	301.35	0.3
dis	301.7	0.3
au	302.05	0.3
petit	302.4	0.3
bonhomme	302.75	0.3
avec	303.1	0.3
un	303.45	0.3
peu	303.8	0.3
de	304.15	0.3
mauvaise	304.5	0.3
humeur	304.85	0.3
que	305.2	0.3
je	305.55	0.3
ne	305.9	0.3
savais	306.25	0.3
pas	306.6	0.3
dessiner.	306.95	0.3
il	307.3	0.3
me	307.65	0.3
répondit	308	0.3
:	308.35	0.3
"ça	309.05	0.3
ne	309.4	0.3
fait	309.75	0.3
rien.	310.1	0.3
dessine-moi	310.45	0.3
un	310.8	0.3
mouton."	311.15	0.3
comme	313.95	0.3
je	314.3	0.3
n'avais	314.65	0.3
jamais	315	0.3
dessiné	315.35	0.3
un	315.7	0.3
mouton	316.05	0.3
je	316.4	0.3
refis,	316.75	0.3
pour	317.1	0.3
lui,	317.45	0.3
l'un	317.8	0.3
des	318.15	0.3
deux	318.5	0.3
seuls	318.85	0.3
dessins	319.2	0.3
dont	319.55	0.3
j'étais	319.9	0.3
capable.	320.25	0.3
celui	320.6	0.3
du	320.95	0.3
boa	321.3	0.3
fermé.	321.65	0.3
et	322	0.3
je	322.35	0.3
fus	322.7	0.3
stupéfait	323.05	0.3
d'entendre	323.4	0.3
le	323.75	0.3
petit	324.1	0.3
bonhomme	324.45	0.3
me	324.8	0.3
répondre	325.15	0.3
:	325.5	0.3
"non!	325.85	0.3
non!	326.2	0.3
je	326.55	0.3
ne	326.9	0.3
veux	327.25	0.3
pas	327.6	0.3
d'un	327.95	0.3
éléphant	328.3	0.3
dans	328.65	0.3
un	329	0.3
boa.	329.35	0.3
un	329.7	0.3
boa	330.05	0.3
c'est	330.4	0.3
très	330.75	0.3
dangereux,	331.1	0.3
et	331.45	0.3
un	331.8	0.3
éléphant	332.15	0.3
c'est	332.5	0.3
très	332.85	0.3
encombrant.	333.2	0.3
chez	333.55	0.3
moi	333.9	0.3
c'est	334.25	0.3
tout	334.6	0.3
petit.	334.95	0.3
j'ai	335.3	0.3
besoin	335.65	0.3
d'un	336	0.3
mouton.	336.35	0.3
dessine-moi	336.7	0.3
un	337.05	0.3
mouton."	337.4	0.3
alors	338.1	0.3
j'ai	338.45	0.3
dessiné.	338.8	0.3
il	339.15	0.3
regarda	339.5	0.3
attentivement,	339.85	0.3
puis	340.2	0.3
:	340.55	0.3
"non!	340.9	0.3
celui-là	341.25	0.3
est	341.6	0.3
très	341.95	0.3
malade.	342.3	0.3
fais-en	342.65	0.3
un	343	0.3
autre."	343.35	0.3
je	343.7	0.3
dessinai	344.05	0.3
:	344.4	0.3
mon	344.75	0.3
ami	345.1	0.3
sourit	345.45	0.3
gentiment,	345.8	0.3
avec	346.15	0.3
indulgence	346.5	0.3
:	346.85	0.3
"tu	348.95	0.3
vois	349.3	0.3
bien...	349.65	0.3
ce	350	0.3
n'est	350.35	0.3
pas	350.7	0.3
un	351.05	0.3
mouton,	351.4	0.3
c'est	351.75	0.3
un	352.1	0.3
bélier.	352.45	0.3
il	352.8	0.3
a	353.15	0.3
des	353.5	0.3
cornes..."	353.85	0.3
je	354.2	0.3
refis	354.55	0.3
donc	354.9	0.3
encore	355.25	0.3
mon	355.6	0.3
dessin	355.95	0.3
:	356.3	0.3
mais	356.65	0.3
il	357	0.3
fut	357.35	0.3
refusé,	357.7	0.3
comme	358.05	0.3
les	358.4	0.3
précédents	358.75	0.3
:	359.1	0.3
"celui-là	359.45	0.3
est	359.8	0.3
trop	360.15	0.3
vieux.	360.5	0.3
je	360.85	0.3
veux	361.2	0.3
un	361.55	0.3
mouton	361.9	0.3
qui	362.25	0.3
vive	362.6	0.3
longtemps."	362.95	0.3
alors,	365.05	0.3
faute	365.4	0.3
de	365.75	0.3
patience,	366.1	0.3
comme	366.45	0.3
j'avais	366.8	0.3
hâte	367.15	0.3
de	367.5	0.3
commencer	367.85	0.3
le	368.2	0.3
démontage	368.55	0.3
de	368.9	0.3
mon	369.25	0.3
moteur,	369.6	0.3
je	369.95	0.3
griffonnai	370.3	0.3
ce	370.65	0.3
dessin-ci	371	0.3
:	371.35	0.3
et	373.8	0.3
je	374.15	0.3
lançai	374.5	0.3
:	374.85	0.3
"ça	375.2	0.3
c'est	375.55	0.3
la	375.9	0.3
caisse.	376.25	0.3
le	376.6	0.3
mouton	376.95	0.3
que	377.3	0.3
tu	377.65	0.3
veux	378	0.3
est	378.35	0.3
dedans."	378.7	0.3
mais	379.05	0.3
je	379.4	0.3
fus	379.75	0.3
bien	380.1	0.3
surpris	380.45	0.3
de	380.8	0.3
voir	381.15	0.3
s'illuminer	381.5	0.3
le	381.85	0.3
visage	382.2	0.3
de	382.55	0.3
mon	382.9	0.3
jeune	383.25	0.3
juge	383.6	0.3
:	383.95	0.3
"c'est	384.3	0.3
tout	384.65	0.3
a	385	0.3
fait	385.35	0.3
comme	385.7	0.3
ça	386.05	0.3
que	386.4	0.3
je	386.75	0.3
le	387.1	0.3
voulais!	387.45	0.3
crois-tu	387.8	0.3
qu'il	388.15	0.3
faille	388.5	0.3
beaucoup	388.85	0.3
d'herbe	389.2	0.3
à	389.55	0.3
ce	389.9	0.3
mouton?	390.25	0.3
-	390.95	0.3
pourquoi?	391.3	0.3
-	392	0.3
parce	392.35	0.3
que	392.7	0.3
chez	393.05	0.3
moi	393.4	0.3
c'est	393.75	0.3
tout	394.1	0.3
petit...	394.45	0.3
-	395.15	0.3
ça	395.5	0.3
suffira	395.85	0.3
sûrement.	396.2	0.3
je	396.55	0.3
t'ai	396.9	0.3
donné	397.25	0.3
un	397.6	0.3
tout	397.95	0.3
petit	398.3	0.3
mouton."	398.65	0.3
il	399.35	0.3
pencha	399.7	0.3
la	400.05	0.3
tête	400.4	0.3
vers	400.75	0.3
le	401.1	0.3
dessin	401.45	0.3
:	401.8	0.3
"pas	402.15	0.3
si	402.5	0.3
petit	402.85	0.3
que	403.2	0.3
ça...	403.55	0.3
tiens!	403.9	0.3
il	404.25	0.3
s'est	404.6	0.3
endormi..."	404.95	0.3
et	405.65	0.3
c'est	406	0.3
ainsi	406.35	0.3
que	406.7	0.3
je	407.05	0.3
fis	407.4	0.3
la	407.75	0.3
connaissance	408.1	0.3
du	408.45	0.3
petit	408.8	0.3
prince.	409.15	0.3
il	410.55	0.3
me	410.9	0.3
fallut	411.25	0.3
longtemps	411.6	0.3
pour	411.95	0.3
comprendre	412.3	0.3
d'où	412.65	0.3
il	413	0.3
venait.	413.35	0.3
le	413.7	0.3
petit	414.05	0.3
prince,	414.4	0.3
qui	414.75	0.3
me	415.1	0.3
posait	415.45	0.3
beaucoup	415.8	0.3
de	416.15	0.3
questions,	416.5	0.3
ne	416.85	0.3
semblait	417.2	0.3
jamais	417.55	0.3
entendre	417.9	0.3
les	418.25	0.3
miennes.	418.6	0.3
ce	418.95	0.3
sont	419.3	0.3
des	419.65	0.3
mots	420	0.3
prononcés	420.35	0.3
par	420.7	0.3
hasard	421.05	0.3
qui,	421.4	0.3
peu	421.75	0.3
à	422.1	0.3
peu,	422.45	0.3
m'ont	422.8	0.3
